"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","550","Case 5: Exit Intent Trigger on Preview Page","Mobile Safari","2026-09-19","skipped","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","33606","Case 6: Member Area - SCC US Report Generation Flow","Mobile Chrome","2026-09-19","passed","2026-09-19","SCC Member Area Monitoring Flow","scc-member-area.spec.ts","",""
"","548","Case 4: VIN Decode to Checkout Navigation","Mobile Safari","2026-09-19","skipped","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","6599","Case 5: Exit Intent Trigger on Preview Page","chromium","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","55283","Case 1: VIN decodeing Flow US VIN","Mobile Safari","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","25331","Case 4: VIN Decode to Checkout Navigation","chromium","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","20809","Case 1: VIN decodeing Flow US VIN","chromium","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","16899","Case 3: Plate REG num decode","Mobile Safari","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
"","32932","Case 7: Member Area - SCC UK Report Generation Flow","Mobile Chrome","2026-09-19","passed","2026-09-19","SCC Member Area Monitoring Flow","scc-member-area.spec.ts","",""
"","13411","Case 3: Plate REG num decode","chromium","2026-09-19","passed","2026-09-19","SCC Monitoring Flow","scc-monitoring.spec.ts","",""
